,FEATURE,0-1.2 BEFORE,0-1.2 IN,0-1.2 AFTER,1.2-1.4 BEFORE,1.2-1.4 IN,1.2-1.4 AFTER,1.4-1.6 BEFORE,1.4-1.6 IN,1.4-1.6 AFTER,1.6-1.8 BEFORE,1.6-1.8 IN,1.6-1.8 AFTER,1.8-2.0 BEFORE,1.8-2.0 IN,1.8-2.0 AFTER,2.0-inf BEFORE,2.0-inf IN,2.0-inf AFTER
131,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,gene,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,CDS,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,CDS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,gene,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,CDS,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,gene,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,CDS,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,gene,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,CDS,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,gene,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,CDS,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,gene,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
